FondsID,SubfondsID,SeriesID,Container,No,Title Original,Title English,Date of Creation (YYYY),Date of Creation (MM),Date of Creation (DD),Date of Creation2 (YYYY),Date of Creation2 (MM),Date of Creation2 (DD),Creator,Collector,Type,Genre,Extent,Description Level,Language,Description/Annotation/Abstract,Temporal Coverage1 (YYYY),Temporal Coverage2 (YYYY),Spatial Coverage1,Spatial Coverage2,Spatial Coverage3,Geo Coordinates,"Subject (Event, Topic, Corporate body, Location outside of YU)",Subject (Person),Privacy/Access,Internal Note,Preview
205,4,120,1,1,Culture,,1992,2,27,1994,12,16,Borba|NIN|Associated Press (AP),Open Media Research Institute,Textual,press clippings|agency news,65,Folder,Serbian|Croatian|English|German,"Interview with the theater actor Ljubiša Ristić |Interview with director Goran Marković about his movie filmed in Bulgaria |A former Mayor of Belgrade Bogdan Bogdanović talks about his views on the regime in Serbia|interview with the President of SANU Dušan Kanazir about the position of the Academy under the current political regime|Several articles about Serbian cultural politics, the role of populism and the presence of kitsch in music|Interview with the Serbian writer Momo Kapor|An article about the media censorship under SPS: members of Serbian opposition interviewed|Director Boro Drašković talks about his movie ‘’Vukovar, one story’’|An article in Croatian newspaper about the controversy raised by the movie about Vukovar|An interview with Đorđe Balašević about his position in the country, his views on the war and his relationship with the regime|Agency news about the phenomenon of folk music which swept Serbia and Belgrade|A sociologist Mirjana Krstović writes about the phenomenon of kitsch in Serbia|Several articles about the troubles of selecting the president of SANU|Agency news about the language disputes between Croats, Serbians and Bosnians|Interview with Ranko Bugarski, a linguist, about the news that media in Republika Srpska started using ekavica instead of ijekavica|Several news about the Congress of PEN in Spain|Musician Momčilo Bajagić Bajaga in an interview states that he would perform in Zagreb|Milo Dor, Austrian writer of Serbian origin, in several articles writes about Yugoslav war and his views on it|Interview with Miljan Miljanić, president of FSJ|",1992,1994,,,Beograd,"44.786568,20.448922",Culture|Sport|War|Movie|SANU (Serbian Academy of Science and Art|Media censorship|Folk music|Kitsch in Serbia|Vienna|Budapest|SPS (Socialist Party of Serbia)|,"Kapor, Momo|Marković, Mirjana|Marković, Goran|Bogdanović, Bogdan|Balašević, Đorđe|Bajagić Bajaga, Momčilo|Bugarski, Ranko|Miljanić, Miljan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Vukovar ,"45.345238,19.00102",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Zagreb,"45.815011,15.981919",,,,,
205,4,120,1,2,Culture,,1995,2,20,1997,1,14,RFE/RL|The Guardian|Reuter|Naša Borba|NIN|Vreme|Agence France-Presse (AFP)|Nedeljna Borba|Politika|The Wall Street Journal Europe|,Open Media Research Institute,Textual,press clippings|agency news,85,Folder,Serbian|French|English|German|,"An article about the unifying role of rock music between Serbia and Croatia|Article about the concert of Đorđe Balašević and the story about the role of musician Bora Đorđević in the protest movement against Milošević|Yugoslavia reaches finals in the Olympic games in Basketball in Atlanta|An article about the connections between sport and politics in Serbia |Chess player Anatoly Karpov joins Milošević’s SPS|A long story about the work and heritage of Serbian writer Slobodan Selenić |Announcement of the movie festival FEST ‘96|Interview with  the winner of NIN award for writers, Svetlana Velmar Janković||An article about the biggest success of Yugoslav volleyball: a third place in the European Championship|Interview with an actor Predrag Miki Manojlović|Yugoslavia won European championship in basketball in Greece |An article about the new novel of Mirko Kovač: Kristalne rešetke (eng. Cristal bars)|A story about the wave of turbo folk in Serbia |Interviews with writer Milovan Vitezović, an actor Danilo Bata Stojković and writer Dušan Kovačević|Several articles about the year of culture in Serbia, announced by the government |Slobodan Milošević hosted Juan Antonio Samaranch, the president of IOC|",1995,1997,,,Beograd,"44.786568,20.448922",Protests|Music in Serbia|Culture|Sports|Yugoslav wars|SPS (Socialist Party of Serbia)|Atlanta|IOC (International Olympic Committee)|,"Balašević, Đorđe|Milošević, Slobodan||Velmar Janković, Svetlana |Kovač, Mirko|Aleksić, Mija|Vitezović, Milovan|Selenić, Slobodan|Karpov, Anatoly|Samaranch, Juan Antonio|",,,
205,4,120,1,3,Culture: Media,,1992,2,26,1992,12,30,Borba|RFE/RL|NIN|Associated Press (AP)|The New York Times|Politika|Reuter|Agence France-Presse (AFP)|Večernji List|Slobodna Dalmacija|,Open Media Research Institute,Textual,press clippings|agency news,75,Folder,Serbian|Croatian|German|English|,"News about the disappearance of equipment of TV station Studio B|Story about possible firing of the number of employees in RTB|News about the Western criticism on skewed reporting of media in favor of Milošević, ahead of presidential elections|An article about the support of the US for anti-Milošević TV stations|Story about the visit of Radio B92 and music punk-rock band ‘’Partibrejkers’’ to Slovenia|Story about the rise and fall of Dušan Mitević, once close to Milošević’s regime, who was removed from the position of Director of Directorate for commodity reserves|Several articles in newspaper ‘’Politika’’ on the topic of media and elections, and the initiative of the government to take over this newspaper through nationalization||Croatian newspapers follow the story about ‘’Politika’’ and the initiative for its nationalization|Transcript from the session of Serbian National Assembly about ‘’Politika’’ and its announced nationalization|The first general strike of RTB to start in a week|A story about  the crackdown on media by Milošević and SPS|",1992,1992,,,Beograd,"44.786568,20.448922",Media|Censorship|Presidential Elections|Studio B|Nationalization|Privatization|Nationalization of ‘’Politika’’|RTB (Radio Television Belgrade)|SPS (Socialist Party of Serbia)|,"Milošević, Slobodan|Panić, Milan|Božović, Radoman|Mitević, Dušan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Zagreb,"45.815011,15.981919",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Osijek,"45.554962,18.695514",,,,,
205,4,120,1,4,Culture: Media,,1993,1,13,1993,12,28,The London Times|Vjesnik|Vreme|Večernji List|The Guardian|AP (Associated Press)|Reuter|Agence France-Presse (AFP)|Borba|Politika|,Open Media Research Institute,Textual,press clippings|agency news|research paper|,,Folder,Serbian|English|Croatian|German|,"Story about the crackdown of the Serbian regime on foreign media: the article comes after Milošević’s regime refuses to extend the accreditation to Dessa Trevisan, a long term correspondent of London Times in Belgrade|A research paper with the working title: Yugoslavia: media and violence, authored by Predrag Simić|Several articles about attacks on journalists and firing of journalists in Serbian media|An article in Vreme about selective use of news on national TV during electoral campaign|A story about the background of kidnapping of editor of weekly Vreme, Dušan Reljić|An article about the current state of Serbian media amid their struggle to challenge the state’s near monopoly of news|A story about the strategy of government with manipulating the prices of paper to prevent independent media from publishing|An interview with Dušan Mijić, one of the main shareholders of newspaper Borba|Several articles about the pressure a newspaper Borba is facing from the regime: reactions and support of opposition parties|An interview with Dragan Đilas, the editor of Radio B92|Interview of Dobrica Ćosić for Corriere Della Sera|An article about the research on the influence and popularity of different media in Serbia|",1993,1993,,,Beograd,"44.786568,20.448922",Media censorship|Journalism|Media and violence|Elections|Nationalization|Radio B92|Newspaper Borba|,"Trevisan, Dessa|Simić, Predrag|Ostojić, Zoran|Milošević, Slobodan|Panić, Milan|Reljić, Dušan|Đilas, Dragan|Ćosić, Dobrica|Mijić, Dušan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Valjevo,"44.268273,19.890655",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Pančevo,"44.874,20.647567",,,,,
205,4,120,1,5,Culture: Media,,1994,1,3,1994,12,29,Associated Press (AP)|Vreme|Borba|Politika|RFE/RL|,Open Media Research Institute,Textual,press clippings|agency news|research paper|,78,Folder,English|Serbian|German|,"Several articles about Serbian regime introducing ban for correspondents of several foreign media|Commentary about the crackdown of the Serbian government on newspaper Borba: Yugoslav Federal government wants to nationalize the newspaper|Protests in Belgrade due to crackdown of regime on media|Newspaper Borba refuses to back down and continues with publishing with its own version of the daily|An article about the crackdown of government on newspaper NIN|An article about the future of newspaper Politika in the context of economic changes and ownership structure transformation|A story about the relationship between government and media and how is privatization of the media conducted|Several articles of support for the newspaper Borba|A commentary about the reasons and the need for changing the Law on RTS|A paper titled Government control over Serbia’s media, authored by Stan Marotich|A draft research paper of RFE/RL Research Institute,  authored by Stan Markotich, about the state of Serbia’s media|",1994,1994,,,Beograd,"44.786568,20.448922",Censorship|Media|Nationalization|Opposition|Protest|Borba|NIN|Politika|Media legislation|RTS (Radio Television Serbia)|,"Reljić, Dušan|Milošević, Slobodan|Brčin, Dragutin|Mijić, Dušan|Ćuruvija, Slavko|Logar, Gordana|",,,
205,4,120,2,1,Culture: Media,,1995,1,30,1996,5,29,Naša borba|The Wall Street Journal|Liberation|International Herald Tribune|The New York Times|Monitor|NIN|Vreme|,Open Media Research Institute,Textual,press clippings|agency news|,100,Folder,Serbian|English|German|French|,"An interview with Dušan Mijić, the owner of newspaper Naša Borba| An article about the state of local press in Serbia|An interview with Dušan Mitević, the former director of RTB|The chronology of replacement of  Živorad Minović from the position of director of the newspaper Politika|The Serbian state takes over Studio B|The new board of directors of RTS almost entirely composed of members from SPS and JUL|Serbian government cracks down on independent media| An Interview with Dragiša Kovačević, director of Studio B, about its current position under the pressure of Milošević’s regime|Commentary of Veran Matić about the state of media and Radio B92 under Milošević| An article about the negative consequences of shutting down Soros Fund in Yugoslavia|The article about the role of media propaganda in the Yugoslav wars|Interview with Sonja Liht about the cancellation of Soros Fund of Yugoslavia|The current conditions in ex-Yugoslav media and the strategies of dictators|",1995,1996,,,Beograd,"44.786568,20.448922",Culture|Media censorship|Soros Fund|SPS (Socialist Party of Serbia)|JUL (Yugoslav Left)|RTB (Radio Television Belgrade)|RTS (Radio Television Serbia)|,"Matić, Veran|Liht, Soros|Soros, George|Hadži Antić, Dragan|Minović, Živorad|Mijić, Dušan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kragujevac,"44.012793,20.911423",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Čačak,"43.891414,20.350165",,,,,
